BJDONG_NM,ADDRESS,RA_REGNO,CMP_NM,위도,경도
잠실동,서울특별시 송파구 올림픽로 145,11710-2021-00134,리센츠MK공인중개사사무소,37.5119804600106,127.087041904838
방이동,서울특별시 송파구 올림픽로 350,11710-2021-00135,씨티공인중개사사무소,37.5160249613599,127.10928386151
오금동,서울특별시 송파구 마천로 98,9253-4427,미래공인중개사사무소,37.5062433926713,127.130662724412
잠실동,서울특별시 송파구 올림픽로 145,9253-4444,대림공인중개사사무소,37.5119804600106,127.087041904838
풍납동,서울특별시 송파구 올림픽로49길 6,9253-4447,명성공인중개사사무소,37.5302887841189,127.119814257294
가산동,서울특별시 금천구 가산디지털1로 171,11545-2019-00086,부동산중개법인피케이주식회사,37.4807624025755,126.880678781517
가산동,서울특별시 금천구 가산디지털2로 43-14,11545-2023-00069,금호공인중개사사무소,37.4724347051782,126.881544629092
독산동,서울특별시 금천구 가산로 96,92430000-1317,제일공인중개사사무소,37.4745355450061,126.894322880492
,서울특별시 금천구 가산디지털2로 169-16,41190-2022-00299-002,점프부동산중개주식회사 가산퍼스타점,37.4830434503182,126.876523105125
신림동,서울특별시 금천구 시흥대로151길 25,11620-2020-00144-002,주식회사업타운부동산중개법인,37.4756562805621,126.89663142502
시흥동,서울특별시 금천구 독산로22길 11,92430000-1127,서울공인중개사사무소,37.4538174580062,126.906899630542
시흥동,서울특별시 금천구 시흥대로 189,11545-2022-00120,인피니움부동산중개사무소,37.4506395014617,126.901462451125
가산동,서울특별시 금천구 디지털로10길 69,11545-2022-00099,VIP부동산중개,37.475300231939,126.890853923229
독산동,서울특별시 금천구 두산로 35,11545-2022-00132,늘공인중개사사무소,37.4705883713907,126.891801424125
가산동,서울특별시 금천구 가산로3길 48,11545-2023-00012,월드공인중개사사무소,37.4723642410567,126.892865923616
독산동,서울특별시 금천구 가산로3길 45,11545-2020-00075,주식회사피터팬의좋은방구하기부동산중개법인,37.4720610558486,126.89297047306
가산동,서울특별시 금천구 가산디지털1로 181,11545-2022-00131,삼성공인중개사사무소,37.4814249861909,126.880393604209
가산동,서울특별시 금천구 가산디지털1로 5,11545-2022-00129,대륭20차공인중개사사무소,37.4667454838323,126.886718830722
시흥동,서울특별시 금천구 독산로 111,92430000-1464,효성공인중개사사무소,37.4572826062386,126.905241889119
독산동,서울특별시 금천구 남부순환로124길 17,11545-2023-00013,로하스공인중개사사무소,37.478816831984,126.902996852496
독산동,서울특별시 금천구 독산로78길 39,11545-2023-00014,대일공인중개사사무소,37.4688600643246,126.904572082175
가산동,서울특별시 금천구 가산디지털1로 168,11545-2022-00006,탑에이스부동산중개법인주식회사,37.479966429878,126.88263620024
가산동,서울특별시 금천구 가산디지털1로 146,11545-2017-00147,가이드부동산공인중개사사무소,37.4787027326644,126.883148970201
가산동,서울특별시 금천구 가산디지털2로 169-16,11545-2021-00133,가산퍼스타공인중개사사무소,37.4830434503182,126.876523105125
가산동,서울특별시 금천구 가산디지털1로 16,11545-2021-00134,가산두꺼비부동산중개,37.467610225193,126.888086110324
독산동,서울특별시 금천구 벚꽃로 30,11545-2022-00001,롯데스타공인중개사사무소,37.4582229148592,126.893710403536
가산동,서울특별시 금천구 벚꽃로 286,11545-2022-00032,가치밸리공인중개사사무소,37.4803938924495,126.884121140151
가산동,서울특별시 금천구 가산로5길 46,11545-2022-00004,루컨설팅공인중개사사무소,37.4737234187752,126.891980045924
독산동,서울특별시 금천구 범안로17길 41,11545-2022-00014,하나공인중개사사무소,37.4683771536712,126.893134662324
가산동,서울특별시 금천구 가산로9길 17,11545-2022-00012,금강산부동산공인중개사사무소,37.4767951922632,126.891055247366
가산동,서울특별시 금천구 범안로 1126,11545-2022-00035,대륭114부동산공인중개사사무소,37.4652382727007,126.8870009849
가산동,서울특별시 금천구 가산디지털2로 108,11545-2022-00038,뉴티공인중개사사무소,37.4778955587368,126.880664798648
가산동,서울특별시 금천구 가산디지털1로 168,11545-2023-00001,가산장원부동산중개,37.479966429878,126.88263620024
가산동,서울특별시 금천구 가산디지털1로 168,11545-2022-00057,가산제일공인중개사사무소,37.479966429878,126.88263620024
가산동,서울특별시 금천구 가산디지털1로 5,11545-2022-00008,마음공인중개사사무소,37.4667454838323,126.886718830722
가산동,서울특별시 금천구 가산디지털1로 168,41290-2021-00023,나인부동산공인중개사사무소,37.479966429878,126.88263620024
가산동,서울특별시 금천구 가산디지털1로 168,11545-2022-00051,나인공인중개사사무소,37.479966429878,126.88263620024
독산동,서울특별시 금천구 시흥대로140길 7,11545-2023-00016,패밀리공인중개사사무소,37.473165937488,126.899083838069
독산동,서울특별시 금천구 가산로 54,11545-2023-00015,하랑공인중개사사무소,37.4718139318902,126.896949404805
신대방동,서울특별시 동작구 여의대방로 22,11590-2015-00087,국제(841-4466우성단지)공인중개사사무소,37.4910969139998,126.911813692107
사당동,서울특별시 동작구 동작대로27길 28,11590-2019-00062,리치공인중개사사무소,37.4876000405527,126.980433641668
상도동,서울특별시 동작구 만양로 6,11590-2016-00119,노빌리티(단지내)공인중개사사무소,37.5049818982281,126.946788478219
사당동,서울특별시 동작구 사당로12길 10-1,가92460000-345,천일부동산중개사무소,37.4842214106776,126.970706451708
대방동,서울특별시 동작구 상도로 59,11590-2019-00042,카카오리안공인중개사사무소,37.5000449592485,126.927097867898
노량진동,서울특별시 동작구 노량진로16길 31,11590-2015-00085,희소공인중개사사무소,37.5122039413258,126.944142618559
사당동,서울특별시 동작구 사당로8길 24,11590-2019-00010,사랑공인중개사사무소,37.4842311024753,126.968794165291
사당동,서울특별시 동작구 사당로23길 185,11590-2019-00025,굿모닝공인중개사사무소,37.4903852966067,126.970705853977
흑석동,서울특별시 동작구 현충로 52,11590-2018-00060,아크로홍익(단지내)공인중개사사무소,37.5096317962488,126.962204212791
사당동,서울특별시 동작구 동작대로3길 29,11590-2018-00206,사당역공인중개사사무소,37.478418816822,126.979691780913
동작동,서울특별시 동작구 동작대로 237,11590-2019-00061,해드림부동산중개사무소,37.4978203375892,126.983316938589
상도동,서울특별시 동작구 상도로26가길 9,11590-2019-00001,복덕 공인중개사사무소,37.5037223920085,126.938459682908
사당동,서울특별시 동작구 사당로17길 19,92460000-917,소망공인중개사사무소,37.4840651666779,126.973733278699
흑석동,서울특별시 동작구 현충로 52,11590-2017-00152,흑석한강(아크로점)공인중개사사무소,37.5096317962488,126.962204212791
흑석동,서울특별시 동작구 흑석한강로 27,11590-2018-00193,다인공인중개사사무소,37.5040994188129,126.966284444741
사당동,서울특별시 동작구 사당로23길 112,92460000-1702,미래(단지내)공인중개사사무소,37.4877957329993,126.973472134901
상도동,서울특별시 동작구 장승배기로 26,11590-2019-00056,아이파크탑공인중개사사무소,37.5006642434154,126.943414996004
흑석동,서울특별시 동작구 흑석로 116,11590-2019-00057,부자공인중개사사무소,37.5086996220642,126.961661337241
상도동,서울특별시 동작구 만양로 6,11590-2017-00175,(e편한세상)백두공인중개사사무소,37.5049818982281,126.946788478219
사당동,서울특별시 동작구 동작대로29가길 7,11590-2017-00116,태평공인중개사사무소,37.4883643107205,126.981205611541
흑석동,서울특별시 동작구 현충로 52,11590-2015-00107,한강리치부동산중개법인,37.5096317962488,126.962204212791
대방동,서울특별시 동작구 여의대방로24길 81,11590-2018-00185,희망공인중개사사무소,37.498742055668,126.924580106047
상도동,서울특별시 동작구 성대로5길 2,11590-2015-00023,명성공인중개사사무소,37.4994208404502,126.933206962197
사당동,서울특별시 동작구 사당로 176,11590-2019-00063,부동산홈공인중개사사무소,37.4861973023502,126.968191369143
상도동,서울특별시 동작구 만양로 6,11590-2018-00021,이편한(정문)공인중개사사무소,37.5049818982281,126.946788478219
사당동,서울특별시 동작구 사당로 224-1,92460000-1397,LBA역전공인중개사사무소,37.4836290203483,126.972682040524
흑석동,서울특별시 동작구 현충로 108,11590-2018-00197,천하공인중개사사무소,37.5073577215911,126.965342320749
상도1동,서울특별시 동작구 상도로45길 7,11590-2018-00182,부동산마스터공인중개사사무소,37.5004200897427,126.950694459874
동작동,서울특별시 동작구 동작대로39길 22,11590-2019-00020,아파트114부동산공인중개사사무소,37.4946359814369,126.981965983395
흑석동,서울특별시 동작구 서달로 150,11590-2019-00026,코끼리부동산중개,37.5066265781961,126.962183786625
신대방동,서울특별시 동작구 여의대방로22길 138,92460000-2519,자이태양공인중개사사무소,37.4983012106277,126.927632655403
상도동,서울특별시 동작구 상도로30길 8,11590-2019-00067,행복부동산공인중개사사무소,37.5047829076264,126.941357144601
흑석동,서울특별시 동작구 현충로 115,11590-2019-00013,명수대현대공인중개사사무소,37.507343296603,126.966561779089
상도동,서울특별시 동작구 상도로47길 4,11590-2016-00046,명진공인중개사사무소,37.4995313792265,126.951448103234
신대방동,서울특별시 동작구 보라매로5길 5,92480000-03266,보라매타운공인중개사사무소,37.4923884716229,126.925359044805
노량진동,서울특별시 동작구 노량진로8길 36,가36080001-1206,삼성e공인중개사사무소,37.5124591853347,126.937299483153
신대방동,서울특별시 동작구 여의대방로22길 121,11590-2022-00059,성유부동산중개법인 주식회사,37.4983519180861,126.925286048904
사당동,서울특별시 동작구 동작대로1길 18,11590-2022-00110,플렉스공인중개사사무소,37.4774604290224,126.980318707705
신대방동,서울특별시 동작구 대림로 43,11590-2022-00046,예원공인중개사사무소,37.4874608069808,126.908378356454
사당동,서울특별시 동작구 사당로 243,11590-2022-00042,로얄공인중개사사무소,37.483479923012,126.974797083346
신대방동,서울특별시 동작구 여의대방로24차길 48,11590-2022-00058,25시공인중개사사무소,37.4988567675559,126.927921737318
흑석동,서울특별시 동작구 서달로 91,92460000-4034,엔젤(02-825-7171)공인중개사사무소,37.5031656177406,126.958890979647
사당동,서울특별시 동작구 동작대로29길 115,11590-2022-00026,하나부동산공인중개사사무소,37.4904171794387,126.975825319818
상도동,서울특별시 동작구 상도로30길 39,11590-2022-00029,생생(단지내)공인중개사사무소,37.5047956242888,126.942297308681
대방동,서울특별시 동작구 보라매로 112,92460000-3637,마포공인중개사사무소,37.4993137600512,126.928518518762
영등포동8가,서울특별시 동작구 여의대방로22길 121,11560-2021-00216-001,R부동산중개법인,37.4983519180861,126.925286048904
상도동,서울특별시 동작구 상도로 298-1,11590-2023-00108,서울공인중개사사무소,37.5010442428806,126.949057733107
노량진동,서울특별시 동작구 장승배기로 153,11590-2020-00102,동아공인중개사사무소,37.5113765969759,126.940014046308
신대방동,서울특별시 동작구 여의대방로22길 121,11590-2022-00035,로드공인중개사사무소,37.4983519180861,126.925286048904
대방동,서울특별시 동작구 대방동길 11-1,11590-2022-00049,아침부동산공인중개사사무소,37.5007545218192,126.927277218492
상도동,서울특별시 동작구 상도로 341-1,92460000-3157,부동산명가공인중개사사무소,37.4979858480481,126.952469370945
대방동,서울특별시 동작구 알마타길 37,92460000-3826,명성(단지안02-812-8500)공인중개사사무소,37.5126598875852,126.929552613479
신대방동,서울특별시 동작구 여의대방로24길 70,92460000-4223,보람공인중개사사무소,37.4983472232295,126.924139915789
사당동,서울특별시 동작구 남부순환로269길 29,11590-2022-00065,사당역명문공인중개사사무소,37.4777664421446,126.977462264921
상도동,서울특별시 동작구 양녕로20길 68,11590-2022-00053,진주공인중개사사무소,37.4953823769581,126.94439058739
상도동,서울특별시 동작구 국사봉길 48,92480000-590,우리부동산컨설팅공인중개사사무소,37.4976193091222,126.930144048998
신대방동,서울특별시 동작구 신대방길 89,11590-2022-00055,원부동산공인중개사사무소,37.4895945958529,126.909342192913
신대방동,서울특별시 동작구 여의대방로22길 121,92480000-04162,보라매자이미소공인중개사사무소,37.4983519180861,126.925286048904
상도동,서울특별시 동작구 양녕로25가길 54,11590-2022-00093,사랑부동산공인중개사사무소,37.4989967249963,126.940428693059
노량진동,서울특별시 동작구 만양로3길 20,11590-2022-00054,햇살공인중개사사무소,37.5082107065725,126.946118884633
대방동,서울특별시 동작구 대방동23길 45,11590-2022-00121,삼성부동산공인중개사사무소,37.5039648401443,126.922789865137
사당동,서울특별시 동작구 동작대로1길 31,11590-2022-00079,스마트공인중개사사무소,37.4772498386689,126.979642805123
흑석동,서울특별시 동작구 현충로 52,11590-2022-00039,올리브아크로공인중개사사무소,37.5096317962488,126.962204212791
흑석동,서울특별시 동작구 현충로 52,11590-2022-00040,흑석오름공인중개사사무소,37.5096317962488,126.962204212791
신대방동,서울특별시 동작구 여의대방로22길 121,11590-2022-00041,보라매자이수지공인중개사사무소,37.4983519180861,126.925286048904
본동,서울특별시 동작구 매봉로 147,11590-2022-00045,하나공인중개사사무소,37.5110748465637,126.951153223914
본동,서울특별시 동작구 매봉로 147,11590-2022-00045,하나공인중개사사무소,37.5110748465637,126.951153223914
상도1동,서울특별시 동작구 양녕로 282,11590-2022-00069,채움부동산공인중개사사무소,37.5043789025342,126.950203054701
노량진동,서울특별시 동작구 만양로 68,92460000-2719,경희부동산공인중개사사무소,37.5097901048602,126.945588647103
신대방동,서울특별시 동작구 보라매로5길 51,11590-2022-00080,롯데타워공인중개사사무소,37.4909420086406,126.923271180059
상도동,서울특별시 동작구 등용로 38,11590-2022-00127,봄공인중개사사무소,37.5061799561784,126.935224732839
성수동2가,서울특별시 성동구 연무장11길 10,92260000-575,송화사부동산중개인사무소,37.5429285449926,127.057562902095
사근동,서울특별시 성동구 사근동길 55,92260000-1599,형제부동산중개사무소,37.5609487302023,127.047096819673
성수동1가,서울특별시 성동구 왕십리로 100,92260000-1601,우리부동산공인중개사사무소,37.5464691176368,127.044877811318
금호동1가,서울특별시 성동구 독서당로55길 17,92260000-1611,삼성싸이버공인중개사사무소,37.5499867742015,127.027251853787
성수동1가,서울특별시 성동구 왕십리로14길 28-22,92260000-1619,한솔공인중개사사무소,37.5480034950884,127.04679535759
행당동,서울특별시 성동구 고산자로 203,92260000-1620,길벗공인중개사사무소,37.5582704114675,127.033714030552
하왕십리동,서울특별시 성동구 왕십리로 410,92260000-670,보은사부동산중개사무소,37.5666029325047,127.024082467223
송정동,서울특별시 성동구 광나루로11길 33,92260000-676,동아부동산,37.5508137972409,127.067311681917
용답동,서울특별시 성동구 자동차시장1길 70,92260000-918,대우부동산,37.5603689173112,127.065148790474
금호동3가,서울특별시 성동구 독서당로 303-13,92260000-873,제일부동산중개사무소,37.5486304642655,127.022744188923
옥수동,서울특별시 성동구 독서당로 223,92260000-1653,태양공인중개사사무소,37.5442707521164,127.015191933825
응봉동,서울특별시 성동구 고산자로 160,92260000-1669,제일부동산랜드중개사무소,37.5543398304805,127.034884152518
금호동3가,서울특별시 성동구 금호산2길 30-1,92260000-1687,대성공인중개사사무소,37.548762183434,127.022779649043
마장동,서울특별시 성동구 마장로 288,92260000-1297,왕십리부동산중개사무소,37.5652421894267,127.041999716513
성수동1가,서울특별시 성동구 왕십리로14길 17,92260000-1578,일진부동산,37.548777300135,127.045806341756
성수동2가,서울특별시 성동구 광나루로 260,92260000-1704,롯데공인중개사사무소,37.5484855557769,127.058461048251
성수동2가,서울특별시 성동구 둘레15길 22-1,9250-5784,386공인중개사사무소,37.536799304015,127.05551128136
마장동,서울특별시 성동구 마장로31길 48,92260000-1960,덕환부동산 중개인사무소,37.5704456132914,127.038586721272
옥수동,서울특별시 성동구 독서당로 220,92260000-9,반도공인중개사무소,37.5437534792332,127.01526277747
성수동2가,서울특별시 성동구 연무장15길 4,92260000-2070,정화부동산,37.5415856849934,127.059760081118
사근동,서울특별시 성동구 사근동10길 2-6,92260000-2202.,중앙부동산중개인사무소,37.5608095366104,127.04774390364
응봉동,서울특별시 성동구 고산자로2길 6-3,92260000-2285,성남부동산,37.5520971746228,127.036024069889
도선동,서울특별시 성동구 무학로4길 29,92260000-2286,성동부동산중개사무소,37.5646208997401,127.034051247322
